 " record_id"	guardian_live_with___1	guardian_live_with___2	guardian_live_with___3	guardian_live_with___4	guardian_live_with___5	guardian_live_with___6	guardian_live_with___7	guardian_live_with___8	guardian_live_with___9	guardian_live_with___10	other_guardian_1_relation	other_guardian_2_relation	bio_dad_live_with	bio_dad_age	bio_dad_educ	bio_dad_status	adopt_dad_live_with	adopt_dad_age	adopt_dad_educ	co_dad_live_with	co_dad_age	co_dad_educ	co_dad_status	bio_mom_live_with	bio_mom_age	bio_mom_educ	bio_mom_status	adopt_mom_live_with	adopt_mom_age	adopt_mom_educ	adopt_mom_status	co_mom_live_with	co_mom_age	co_mom_educ	co_mom_status	grandmom_live_with	grandmom_age	grandmom_educ	grandmom_status	granddad_live_with	granddad_age	granddad_educ	granddad_status	other_guardian_1_live_with	other_guardian_1_age	other_guardian_1_educ	other_guardian_1_status	other_guardian_2_live_with	other_guardian_2_age	other_guardian_2_educ	other_guardian_2_status	siblings	number_siblings	number_siblings_at_home	number_siblings_outside_home	adopt_dad_status	age_2_read_per_week	age_6_read_per_week	age_9_read_per_week	current_age_reads_per_week	household_income	left_handed_family	write_handedness	ball_handedness	brush_handedness	jar_handedness	limited_access	eng_no_signs	other_spoken_lang_access	other_unknown	limited_access_2	eng_no_signs_2	other_spoken_lang_access_2	other_unknown_2	limited_access_3	eng_no_signs_3	other_spoken_lang_access_3	other_unknown_3	number_lang	langs___1	langs___2	langs___3	langs___4	langs___5	other_spoken_lang	english_dom	english_dom_2	other_spoken_dom	additional_lang	child_pref_lang	child_pref_other_spoken_lang	child_pref_other_man_lang	age_exposure_english	age_exposure_spanish	age_exposure_other_spoken_lang	age_read_english	age_read_spanish	age_read_other_spoken_lang	percent_home_english	percent_home_spanish	percent_home_other_lang_1	home_lang_calc	school_lang_calc	prev_school___1	prev_school___2	prev_school___3	prev_school___4	prev_school___5	prev_school___6	prev_school___7	other_prev_school	current_school	other_current_school	current_grade	skipped_grade	yes_skipped_grade	repeated_grade	yes_repeated_grade	adhd_question_1_v2	adhd_question_2_v2	adhd_question_3_v2	adhd_question_4_v2	adhd_question_5_v2	adhd_question_6_v2	adhd_question_7_v2	adhd_question_8_v2	adhd_question_9_v2	adhd_question_10_v2	adhd_question_11_v2	adhd_question_12_v2	adhd_question_13_v2	adhd_question_14_v2	adhd_question_15_v2	adhd_question_16_v2	adhd_question_17_v2	adhd_question_18_v2
sub-1002	1	0	0	0	0	0	0	0	0	0	n/a	n/a	7	53	7	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2	2	0	n/a	0	0	0	5	5	2	1	1	1	1	10	10	1	1	10	10	2	1	10	10	2	1	1	1	0	0	0	0	n/a	1	n/a	n/a	n/a	1	n/a	n/a	1	n/a	n/a	5	n/a	n/a	100	n/a	n/a	100	90	0	0	1	1	0	0	0	n/a	4	n/a	8	2	n/a	2	n/a	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
sub-1076	0	0	0	1	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	43	6	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2	2	0	n/a	7	6	1	7	5	1	1	1	1	1	10	10	1	1	1	10	1	1	1	10	2	1	1	1	0	0	0	0	n/a	2	n/a	n/a	n/a	1	n/a	n/a	1	n/a	n/a	4	n/a	n/a	100	n/a	n/a	100	100	0	0	1	0	0	0	0	n/a	3	n/a	4	2	n/a	2	n/a	1	1	1	1	0	1	0	0	1	0	1	2	0	3	1	2	1	1
sub-1077	1	0	0	1	0	0	0	0	0	0	n/a	n/a	7	48	6	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	47	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2	2	0	n/a	7	5	5	5	4	1	1	1	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	1	0	0	0	0	n/a	1	n/a	n/a	n/a	1	n/a	n/a	1	n/a	n/a	5	n/a	n/a	100	n/a	n/a	100	100	0	0	0	0	0	1	0	n/a	6	n/a	5	2	n/a	2	n/a	1	2	1	0	1	0	1	0	1	0	1	1	1	0	1	0	1	0
sub-1078	1	0	0	1	0	0	0	0	0	0	n/a	n/a	7	48	6	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	47	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2	2	0	n/a	7	5	5	5	4	1	1	1	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	1	0	0	0	0	n/a	1	n/a	n/a	n/a	1	n/a	n/a	1	n/a	n/a	5	n/a	n/a	100	n/a	n/a	100	100	0	0	0	0	0	1	0	n/a	6	n/a	3	2	n/a	2	n/a	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
sub-1079	1	0	0	1	0	0	0	0	0	0	n/a	n/a	7	37	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	36	5	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2	2	0	n/a	5	5	0	1	5	1	1	1	1	1	10	10	2	1	1	10	2	1	1	10	2	1	1	1	0	0	0	0	n/a	1	n/a	n/a	n/a	1	n/a	n/a	2	n/a	n/a	6	n/a	n/a	100	n/a	n/a	100	100	0	0	1	0	0	1	1	LILLIAN SPENT HER FIRST THREE YEARS IN THE AUSTRALIAN PUBLIC SCHOOL SYSTEM, ONE YEAR IN PRIVATE WALDORF EDUCATION, AND IS CURRENTLY IN HER SECOND YEAR OF WALDORF STYLE HOMESCHOOLING VIRTUALLY.	6	n/a	3	2	n/a	2	n/a	0	3	1	0	0	0	0	0	1	0	1	1	1	0	1	0	0	0
sub-1080	1	0	0	1	0	0	0	0	0	0	n/a	n/a	7	43	6	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	41	7	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1	1	0	n/a	7	7	0	7	6	2	1	1	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	1	0	0	0	0	n/a	1	n/a	n/a	n/a	1	n/a	n/a	1	n/a	n/a	4	n/a	n/a	100	n/a	n/a	100	100	0	0	1	0	0	0	0	n/a	3	n/a	3	2	n/a	2	n/a	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
sub-1081	1	0	0	1	0	0	0	0	0	0	n/a	n/a	7	46	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	45	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1	1	0	n/a	7	7	7	5	3	2	1	1	1	1	1	10	1	1	1	10	1	1	1	10	1	1	1	1	0	0	0	0	n/a	1	n/a	n/a	n/a	1	n/a	n/a	1	n/a	n/a	5	n/a	n/a	100	n/a	n/a	100	100	0	0	1	0	0	0	0	n/a	3	n/a	3	2	n/a	2	n/a	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
sub-1082	1	0	0	1	0	0	0	0	0	0	n/a	n/a	7	43	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	43	6	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	2	2	0	n/a	7	7	2	n/a	5	2	1	1	1	1	10	9	1	1	1	10	2	1	1	10	2	1	1	1	0	0	0	0	n/a	1	n/a	n/a	n/a	1	n/a	n/a	1	n/a	n/a	6	n/a	n/a	100	n/a	n/a	100	100	0	0	1	0	0	0	0	n/a	3	n/a	2	2	n/a	2	n/a	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
sub-1083	1	0	0	1	0	0	0	0	0	0	n/a	n/a	7	56	5	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	52	6	3	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1	1	0	n/a	7	4	1	5	5	1	1	2	4	4	10	10	1	1	10	10	1	1	10	10	1	1	1	1	0	0	0	0	n/a	1	n/a	n/a	n/a	1	n/a	n/a	1	n/a	n/a	3	n/a	n/a	100	n/a	n/a	100	100	0	0	1	1	0	0	0	n/a	3	n/a	8	2	n/a	2	n/a	0	2	1	0	0	0	0	0	0	1	1	3	1	1	1	0	1	2
sub-1084	0	0	0	0	0	0	0	0	0	0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
